# Generated from VCS_PSP_PS2_OPCODE_COMPARE.json; opcode<TAB>table handler target
0x0000	0x003b1448
0x0001	0x003909d0
0x0002	0x003b1450
0x0003	0x002878c8
0x0004	0x003b14b0
0x0005	0x003b14b0
0x0006	0x003b2a20
0x0007	0x003b1520
0x0008	0x003b1598
0x0009	0x003b1610
0x000A	0x003b1688
0x000B	0x003b1700
0x000C	0x003b1778
0x000D	0x003b17f0
0x000E	0x003b1878
0x000F	0x003b18f8
0x0010	0x003b18f8
0x0011	0x003b18f8
0x0012	0x003b1a90
0x0013	0x003b1a90
0x0014	0x003b1a90
0x0015	0x003b19c8
0x0016	0x003b19c8
0x0017	0x003b19c8
0x0018	0x003b1b70
0x0019	0x003b1b70
0x001A	0x003b1b70
0x001B	0x003b1c50
0x001C	0x003b1c50
0x001D	0x003b1c50
0x001E	0x003b1c50
0x001F	0x003dd6c0
0x0020	0x003dd6c0
0x0021	0x003b1f70
0x0022	0x003b1fd8
0x0023	0x003b2040
0x0024	0x003b2098
0x0025	0x003b2108
0x0026	0x003b2188
0x0027	0x00333ec8
0x0028	0x002d2788
0x0029	0x003b1520
0x002A	0x003b1598
0x002B	0x003b1610
0x002C	0x003b1688
0x002D	0x003b1700
0x002E	0x003b1778
0x002F	0x003b17f0
0x0030	0x003b1878
0x0031	0x003b1d20
0x0032	0x003b1d20
0x0033	0x003b1da8
0x0034	0x003b1da8
0x0035	0x003b14b0
0x0036	0x003b14b0
0x0037	0x003b2a20
0x0038	0x003b1e30
0x0039	0x003b1e98
0x003A	0x003b1f00
0x003B	0x003b1f38
0x003C	0x00100010
0x003D	0x00100080
0x003E	0x004123e0
0x003F	0x00412848
0x0040	0x0010b5d8
0x0041	0x0010cb68
0x0042	0x0010b680
0x0043	0x004128e8
0x0044	0x00412de8
0x0045	0x00412fc8
0x0046	0x004130e0
0x0047	0x00413248
0x0048	0x003d06b0
0x0049	0x003d0b60
0x004A	0x003d0c10
0x004B	0x003d0df0
0x004C	0x003d0e80
0x004D	0x003d0ec8
0x004E	0x003d1198
0x004F	0x003d1348
0x0050	0x003d1428
0x0051	0x003d1540
0x0052	0x003d1598
0x0053	0x003d1670
0x0054	0x003d1790
0x0055	0x003daac8
0x0056	0x003daba8
0x0057	0x003dac80
0x0058	0x003dad60
0x0059	0x003dae38
0x005A	0x00365eb8
0x005B	0x00365f00
0x005C	0x00365f50
0x005D	0x00390a28
0x005E	0x003b21a8
0x005F	0x003b2230
0x0078	0x003b22b8
0x0079	0x003b2320
0x007A	0x003b2368
0x007B	0x004133c8
0x007C	0x00413618
0x007D	0x00413728
0x007E	0x00413828
0x007F	0x003a7c70
0x0080	0x003166d0
0x0081	0x003166d0
0x0082	0x003166d0
0x0083	0x003166d0
0x0084	0x003166d0
0x0085	0x003166d0
0x0086	0x00316750
0x0087	0x00316750
0x0088	0x00316750
0x0089	0x00316710
0x008A	0x00316710
0x008B	0x00316710
0x008C	0x00316710
0x008D	0x00316710
0x008E	0x00316710
0x008F	0x00316730
0x0090	0x00316730
0x0091	0x00316730
0x0092	0x0030cb70
0x0093	0x0030d1f8
0x0094	0x002d2978
0x0095	0x002d29f0
0x0096	0x002d2ad8
0x0097	0x002d2b58
0x0098	0x002d2c70
0x0099	0x002d2cd8
0x009A	0x002d2d40
0x009B	0x002d2e28
0x009C	0x002d2e80
0x009D	0x002d2ed8
0x009E	0x00413908
0x009F	0x00413968
0x00A0	0x003d18c8
0x00A1	0x00413a88
0x00A2	0x0010b6f0
0x00A3	0x0010b760
