# Generated from VCS_PSP_PS2_OPCODE_COMPARE.json; opcode<TAB>table handler target
0x0000	0x002b73e0
0x0001	0x0029a5a8
0x0002	0x002b73e8
0x0003	0x0018b930
0x0004	0x002b7448
0x0005	0x002b7448
0x0006	0x002b74a8
0x0007	0x002b7508
0x0008	0x002b7570
0x0009	0x002b75d8
0x000A	0x002b7640
0x000B	0x002b76a8
0x000C	0x002b7714
0x000D	0x002b777c
0x000E	0x002b77e8
0x000F	0x002b7850
0x0010	0x002b7850
0x0011	0x002b7850
0x0012	0x002b7918
0x0013	0x002b7918
0x0014	0x002b7918
0x0015	0x002b79f0
0x0016	0x002b79f0
0x0017	0x002b79f0
0x0018	0x002b7abc
0x0019	0x002b7abc
0x001A	0x002b7abc
0x001B	0x002b7b94
0x001C	0x002b7b94
0x001D	0x002b7b94
0x001E	0x002b7b94
0x001F	0x002eb2c4
0x0020	0x002eb2c4
0x0021	0x002b7c60
0x0022	0x002b7ccc
0x0023	0x002b7d38
0x0024	0x002b7d84
0x0025	0x002b7e08
0x0026	0x002b7e88
0x0027	0x00253e10
0x0028	0x001da020
0x0029	0x002b7508
0x002A	0x002b7570
0x002B	0x002b75d8
0x002C	0x002b7640
0x002D	0x002b76a8
0x002E	0x002b7714
0x002F	0x002b777c
0x0030	0x002b77e8
0x0031	0x002b7ea8
0x0032	0x002b7ea8
0x0033	0x002b7f18
0x0034	0x002b7f18
0x0035	0x002b7448
0x0036	0x002b7448
0x0037	0x002b74a8
0x0038	0x002b7f88
0x0039	0x002b7fe8
0x003A	0x002b8048
0x003B	0x002b8088
0x003C	0x00000158
0x003D	0x000001c0
0x003E	0x0032dc24
0x003F	0x0032316c
0x0040	0x00003d14
0x0041	0x00003dd0
0x0042	0x00003f54
0x0043	0x0032321c
0x0044	0x003232f8
0x0045	0x003233f0
0x0046	0x00323538
0x0047	0x00323708
0x0048	0x002e82c8
0x0049	0x002e03c8
0x004A	0x002e0484
0x004B	0x002e064c
0x004C	0x002e06d0
0x004D	0x002e0718
0x004E	0x002e07b0
0x004F	0x002e0880
0x0050	0x002e0970
0x0051	0x002e0a1c
0x0052	0x002e0a78
0x0053	0x002e0b48
0x0054	0x002e0c74
0x0055	0x002eb3d0
0x0056	0x002eb4bc
0x0057	0x002eb5a4
0x0058	0x002eb694
0x0059	0x002eb77c
0x005A	0x00283b64
0x005B	0x00283ba0
0x005C	0x00283bf4
0x005D	0x0029a608
0x005E	0x002b80d4
0x005F	0x002b815c
0x0078	0x002b81e0
0x0079	0x002b8250
