opcode,lcs_source_command,vcs_target,vcs_target_function,vcs_descriptor,vcs_local_offset,vcs_selector,status
0,COMMAND_NOP,0x002b73e0,,0x00000000,0,0,NUMERIC_SLOT_PRESENT_BOTH_UNVERIFIED
1,COMMAND_WAIT,0x0029a5a8,FUN_0029a5a8,0x00000000,0,0,NUMERIC_SLOT_PRESENT_BOTH_UNVERIFIED
2,COMMAND_GOTO,0x002b73e8,FUN_002b73e8,0x00000000,0,0,NUMERIC_SLOT_PRESENT_BOTH_UNVERIFIED
3,COMMAND_SHAKE_CAM,0x0018b930,FUN_0018b930,0x00000000,0,0,NUMERIC_SLOT_PRESENT_BOTH_UNVERIFIED
4,COMMAND_SET_VAR_INT,0x002b7448,FUN_002b7448,0x00000000,0,0,NUMERIC_SLOT_PRESENT_BOTH_UNVERIFIED
5,COMMAND_SET_VAR_FLOAT,0x002b7448,FUN_002b7448,0x00000000,0,0,NUMERIC_SLOT_PRESENT_BOTH_UNVERIFIED
6,COMMAND_SET_LVAR_INT,0x002b74a8,FUN_002b74a8,0x00000000,0,0,NUMERIC_SLOT_PRESENT_BOTH_UNVERIFIED
7,COMMAND_SET_LVAR_FLOAT,0x002b7508,FUN_002b7508,0x00000000,0,0,NUMERIC_SLOT_PRESENT_BOTH_UNVERIFIED
8,COMMAND_ADD_VAL_TO_INT_VAR,0x002b7570,FUN_002b7570,0x00000000,0,0,NUMERIC_SLOT_PRESENT_BOTH_UNVERIFIED
9,COMMAND_ADD_VAL_TO_FLOAT_VAR,0x002b75d8,FUN_002b75d8,0x00000000,0,0,NUMERIC_SLOT_PRESENT_BOTH_UNVERIFIED
10,COMMAND_ADD_VAL_TO_INT_LVAR,0x002b7640,FUN_002b7640,0x00000000,0,0,NUMERIC_SLOT_PRESENT_BOTH_UNVERIFIED
11,COMMAND_ADD_VAL_TO_FLOAT_LVAR,0x002b76a8,FUN_002b76a8,0x00000000,0,0,NUMERIC_SLOT_PRESENT_BOTH_UNVERIFIED
12,COMMAND_SUB_VAL_FROM_INT_VAR,0x002b7714,FUN_002b7714,0x00000000,0,0,NUMERIC_SLOT_PRESENT_BOTH_UNVERIFIED
13,COMMAND_SUB_VAL_FROM_FLOAT_VAR,0x002b777c,FUN_002b777c,0x00000000,0,0,NUMERIC_SLOT_PRESENT_BOTH_UNVERIFIED
